Date,Max Temp,Min Temp,Avg Temp,Departure Temp,HDD,CDD,Precip
12/1/1889,61,35,48,10.6,17,0,0
12/2/1889,64,49,56.5,19.4,8,0,0
12/3/1889,63,37,50,13.3,15,0,0
12/4/1889,65,36,50.5,14.1,14,0,0
12/5/1889,44,42,43,7,22,0,0
12/6/1889,44,38,41,5.3,24,0,0
12/7/1889,54,40,47,11.6,18,0,0
12/8/1889,60,46,53,17.9,12,0,0
12/9/1889,58,41,49.5,14.7,15,0,0
12/10/1889,56,48,52,17.5,13,0,0.14
12/11/1889,58,36,47,12.8,18,0,0
12/12/1889,70,43,56.5,22.6,8,0,0
12/13/1889,47,41,44,10.4,21,0,0
12/14/1889,52,35,43.5,10.1,21,0,0
12/15/1889,56,34,45,11.9,20,0,0
12/16/1889,60,46,53,20.2,12,0,0
12/17/1889,46,34,40,7.4,25,0,0
12/18/1889,59,38,48.5,16.2,16,0,0
12/19/1889,68,42,55,22.9,10,0,0
12/20/1889,46,37,41.5,9.6,23,0,0
12/21/1889,60,36,48,16.4,17,0,0
12/22/1889,50,27,38.5,7.1,26,0,0
12/23/1889,64,40,52,20.8,13,0,0
12/24/1889,64,60,62,31,3,0,0
12/25/1889,66,46,56,25.2,9,0,0
12/26/1889,47,38,42.5,11.9,22,0,0
12/27/1889,60,35,47.5,17.1,17,0,0
12/28/1889,66,47,56.5,26.2,8,0,0
12/29/1889,30,24,27,-3.1,38,0,0
12/30/1889,33,12,22.5,-7.4,42,0,0
12/31/1889,46,22,34,4.2,31,0,0
12/1/2021,64,37,50.5,13.1,14,0,0
12/2/2021,71,45,58,20.9,7,0,0
12/3/2021,66,41,53.5,16.8,11,0,0
12/4/2021,51,34,42.5,6.1,22,0,0
12/5/2021,64,39,51.5,15.5,13,0,0
12/6/2021,39,24,31.5,-4.2,33,0,0
12/7/2021,42,27,34.5,-0.9,30,0,0
12/8/2021,51,24,37.5,2.4,27,0,0
12/9/2021,64,38,51,16.2,14,0,0
12/10/2021,67,35,51,16.5,14,0,0
12/11/2021,47,30,38.5,4.3,26,0,0
12/12/2021,57,31,44,10.1,21,0,0
12/13/2021,56,34,45,11.4,20,0,0
12/14/2021,65,42,53.5,20.1,11,0,0
12/15/2021,74,42,58,24.9,7,0,0.19
12/16/2021,47,30,38.5,5.7,26,0,0
12/17/2021,43,32,37.5,4.9,27,0,0
12/18/2021,33,21,27,-5.3,38,0,0
12/19/2021,38,16,27,-5.1,38,0,0
12/20/2021,46,24,35,3.1,30,0,0
12/21/2021,47,17,32,0.4,33,0,0
12/22/2021,53,23,38,6.6,27,0,0
12/23/2021,60,39,49.5,18.3,15,0,0
12/24/2021,72,46,59,28,6,0,0
12/25/2021,57,36,46.5,15.7,18,0,0
12/26/2021,65,34,49.5,18.9,15,0,0
12/27/2021,64,39,51.5,21.1,13,0,0
12/28/2021,57,23,40,9.7,25,0,0.31
12/29/2021,33,19,26,-4.1,39,0,0
12/30/2021,44,28,36,6.1,29,0,0
